ParName   Value   Gradient
MGparm[1]     0.260091  1.36598e-05
MGparm[13]     0.479487  9.60604e-07
SR_parm[1]      5.21303 -6.46432e-05
recdev1(1970)     0.307898 -1.35189e-06
recdev1(1971)     0.262819 -4.54445e-07
recdev1(1972)     0.271665 -1.98718e-06
recdev1(1973)     0.312777 -1.55879e-06
recdev1(1974)     0.447722 -1.26346e-06
recdev1(1975)     0.167028 -7.48473e-07
recdev1(1976)    -0.168422 -5.63116e-07
recdev1(1977)    -0.328713 -3.05524e-07
recdev1(1978)    -0.453829 -4.82125e-07
recdev1(1979)    0.0199447  8.64763e-08
recdev1(1980)   -0.0464388 -6.25883e-07
recdev1(1981)    -0.743391  4.55695e-07
recdev1(1982)    -0.731661 -5.53554e-07
recdev1(1983)     0.157837  1.68546e-07
recdev1(1984)      1.46334 -4.55384e-06
recdev1(1985)    -0.348285  7.50351e-07
recdev1(1986)    -0.133229  1.50019e-07
recdev1(1987)      1.35094 -1.87281e-06
recdev1(1988)    -0.179442 -5.08315e-07
recdev1(1989)    -0.421315  6.38747e-08
recdev1(1990)    -0.243389  4.58006e-07
recdev1(1991)    -0.313369  6.78104e-07
recdev1(1992)    -0.361644  4.38967e-07
recdev1(1993)     0.384256  -5.3284e-07
recdev1(1994)     0.460052 -2.24344e-06
recdev1(1995)    0.0219185 -3.10608e-07
recdev1(1996)    -0.285276  3.84527e-08
recdev1(1997)   -0.0494817  2.14136e-06
recdev1(1998)     0.710585 -5.35889e-07
recdev1(1999)    -0.394562  6.40419e-07
recdev1(2000)    -0.833273  1.12168e-06
recdev1(2001)    -0.460255  1.06099e-06
recdev1(2002)      0.94176  5.46787e-07
recdev1(2003)    -0.161954  1.04627e-06
recdev1(2004)    -0.459685  1.55447e-06
recdev1(2005)     0.413243  3.63866e-07
recdev1(2006)     0.236952   1.0216e-07
recdev1(2007)   -0.0736801  5.50531e-07
recdev1(2008)   -0.0366687 -4.44467e-08
recdev1(2009)    -0.106831  4.27994e-07
recdev1(2010)    -0.417752  1.02896e-06
recdev1(2011)    -0.223299  1.40071e-06
recdev1(2012)    -0.125542  1.84829e-06
recdev1(2013)    -0.287789  7.86897e-07
recdev1(2014)     -0.02495   7.5724e-07
recdev1(2015)     0.416899  6.72868e-07
recdev1(2016)    0.0664868  1.43144e-06
Fcast_recruitments(2017)    0.0031891 -8.61804e-08
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Q_parm[2]     0.377135 -2.52315e-07
selparm[1]      22.9946  5.03855e-09
selparm[2]     -5.99916 -1.31247e-08
selparm[3]      8.95114  8.58107e-09
selparm[7]      39.8512 -3.89914e-06
selparm[8]     -4.10612 -2.37361e-07
selparm[9]     -2.21856 -2.06824e-08
selparm[10]     -4.12684 -2.02719e-07
selparm[12]     -9.64391   1.1969e-09
selparm[13]      38.8017  1.02565e-06
selparm[14]     -6.05741 -3.09086e-09
selparm[15]      5.63468 -1.77391e-07
selparm[19]      35.0583 -2.41961e-05
selparm[20]    -0.742337  7.65015e-09
selparm[21]      4.23109  2.64418e-05
selparm[27]      43.5823  7.52948e-07
selparm[28]     -3.15275  4.30454e-08
selparm[29]      3.57011  2.96664e-07
selparm[30]      3.04834  2.22709e-07
selparm[31]     -1.49112  -2.1779e-06
selparm[32]      44.1751 -6.89441e-06
selparm[33]     -1.98977  6.53686e-09
selparm[34]      4.45699  9.23345e-06
