"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"1916",91.8296,70.7952,54.5818,42.0815,32.4441,25.0138,19.2852,14.8685,11.4633,8.83802,6.81395,5.25343,4.0503,3.1227,2.40755,1.85617,1.43108,1.10333,0.850649,0.655835,0.505637,0.389836,0.300557,0.231724,0.178655,0.601433
"1917",91.8282,70.7989,54.5806,42.0789,32.4407,25.0105,19.2825,14.8664,11.4617,8.83672,6.81294,5.25265,4.0497,3.12224,2.40719,1.8559,1.43086,1.10317,0.850523,0.655737,0.505561,0.389778,0.300512,0.231689,0.178628,0.601344
"1918",91.8268,70.7978,54.5834,42.0779,32.4386,25.0079,19.28,14.8643,11.46,8.83542,6.81194,5.25187,4.0491,3.12178,2.40683,1.85562,1.43065,1.103,0.850396,0.655639,0.505486,0.38972,0.300467,0.231655,0.178601,0.601254
"1919",91.8256,70.7968,54.5826,42.0801,32.4379,25.0063,19.2779,14.8623,11.4584,8.83415,6.81094,5.2511,4.0485,3.12131,2.40647,1.85535,1.43044,1.10284,0.850269,0.655542,0.505411,0.389662,0.300422,0.23162,0.178575,0.601164
"1920",91.8245,70.7958,54.5818,42.0795,32.4396,25.0058,19.2767,14.8608,11.4569,8.83291,6.80995,5.25033,4.0479,3.12085,2.40612,1.85507,1.43022,1.10268,0.850143,0.655444,0.505335,0.389604,0.300377,0.231585,0.178548,0.601075
"1921",91.8236,70.795,54.5811,42.0789,32.4391,25.0071,19.2763,14.8598,11.4557,8.83176,6.809,5.24957,4.0473,3.12039,2.40576,1.85479,1.43001,1.10251,0.850016,0.655346,0.50526,0.389546,0.300333,0.231551,0.178521,0.600985
"1922",91.8229,70.7943,54.5804,42.0783,32.4386,25.0067,19.2773,14.8595,11.455,8.83083,6.80812,5.24883,4.04672,3.11993,2.4054,1.85452,1.4298,1.10235,0.84989,0.655249,0.505185,0.389488,0.300288,0.231516,0.178495,0.600895
"1923",91.8223,70.7938,54.5799,42.0778,32.4382,25.0063,19.277,14.8603,11.4547,8.83027,6.8074,5.24815,4.04615,3.11948,2.40505,1.85425,1.42959,1.10218,0.849763,0.655151,0.505109,0.38943,0.300243,0.231482,0.178468,0.600806
"1924",91.8217,70.7933,54.5795,42.0774,32.4378,25.006,19.2767,14.8601,11.4553,8.83007,6.80696,5.2476,4.04563,3.11904,2.4047,1.85397,1.42938,1.10202,0.849637,0.655054,0.505034,0.389372,0.300198,0.231447,0.178442,0.600716
"1925",91.8213,70.7929,54.5791,42.0771,32.4375,25.0057,19.2765,14.8598,11.4551,8.83053,6.80681,5.24726,4.0452,3.11864,2.40437,1.85371,1.42917,1.10186,0.849511,0.654957,0.504959,0.389314,0.300154,0.231413,0.178415,0.600627
"1926",91.8209,70.7925,54.5788,42.0768,32.4372,25.0055,19.2762,14.8596,11.455,8.8304,6.80717,5.24715,4.04494,3.11831,2.40405,1.85345,1.42896,1.1017,0.849386,0.65486,0.504884,0.389256,0.300109,0.231378,0.178388,0.600537
"1927",91.8206,70.7922,54.5785,42.0765,32.437,25.0053,19.276,14.8595,11.4548,8.83027,6.80706,5.24742,4.04485,3.11811,2.4038,1.8532,1.42876,1.10154,0.849261,0.654763,0.504809,0.389198,0.300064,0.231344,0.178362,0.600448
"1928",91.8204,70.792,54.5783,42.0763,32.4368,25.0051,19.2759,14.8593,11.4547,8.83015,6.80697,5.24734,4.04506,3.11804,2.40365,1.85301,1.42857,1.10138,0.849138,0.654667,0.504735,0.389141,0.30002,0.23131,0.178335,0.600358
