"Years","Recruitment","95% Asymptotic Interval","Recruitment Deviations","95% Asymptotic Interval"
2007,"123","34–438","-0.074","-1.172–1.024"
2008,"130","38–448","-0.037","-1.058–0.985"
2009,"124","37–412","-0.107","-1.057–0.843"
2010,"93","27–319","-0.418","-1.453–0.617"
2011,"114","33–399","-0.223","-1.281–0.835"
2012,"129","36–465","-0.126","-1.247–0.996"
2013,"111","30–407","-0.288","-1.462–0.887"
2014,"146","38–568","-0.025","-1.312–1.262"
2015,"230","54–985","0.417","-1.028–1.861"
2016,"166","41–683","0.066","-1.320–1.453"
2017,"160","40–631","0.003","-1.371–1.377"
2018,"162","41–634","0.000","-1.372–1.372"
2019,"165","42–644","0.000","-1.372–1.372"
