"Years","Estimated (1-SPR)/(1-SPR_45%) (%)","95% Asymptotic Interval","Harvest Rate (proportion)","95% Asymptotic Interval"
2007,"78.42","25.08–131.76","0.095","0.008–0.182"
2008,"64.85","16.00–113.69","0.070","0.006–0.133"
2009,"74.36","22.88–125.84","0.087","0.009–0.165"
2010,"61.64","15.13–108.15","0.069","0.008–0.131"
2011,"76.16","25.20–127.12","0.094","0.011–0.176"
2012,"81.70","28.68–134.72","0.103","0.011–0.194"
2013,"81.76","28.03–135.50","0.106","0.009–0.203"
2014,"76.53","22.83–130.23","0.093","0.006–0.179"
2015,"44.09","5.85–82.32","0.043","0.003–0.083"
2016,"60.20","14.51–105.90","0.064","0.006–0.121"
2017,"29.30","3.39–55.21","0.025","0.003–0.048"
2018,"37.53","7.77–67.29","0.033","0.006–0.060"
2019,"67.91","23.92–111.90","0.075","0.015–0.135"
