"Years","OFL","ABC","ACL","Landings","Total Dead"
2007,"fill_in","fill_in","fill_in","10.67","10.67"
2008,"fill_in","fill_in","fill_in","8.45","8.45"
2009,"fill_in","fill_in","fill_in","11.33","11.33"
2010,"fill_in","fill_in","fill_in","9.29","9.29"
2011,"fill_in","fill_in","fill_in","13.02","13.02"
2012,"fill_in","fill_in","fill_in","14.05","14.05"
2013,"fill_in","fill_in","fill_in","14.07","14.07"
2014,"fill_in","fill_in","fill_in","11.95","11.95"
2015,"fill_in","fill_in","fill_in","5.44","5.44"
2016,"fill_in","fill_in","fill_in","8.44","8.44"
2017,"fill_in","fill_in","fill_in","3.65","3.65"
2018,"fill_in","fill_in","fill_in","5.20","5.20"
2019,"fill_in","fill_in","fill_in","NA","NA"
