"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 2+ Biomass (mt)","Spawning Biomass (mt)","Depletion (%)"
2019,"21.92","12.85","0.00","100.59","49.17"
2020,"22.81","12.85","0.00","106.42","52.02"
2021,"23.33","21.90","0.00","110.51","54.02"
2022,"22.45","20.97","0.00","106.97","52.28"
2023,"21.65","20.14","0.00","103.09","50.39"
2024,"21.00","19.46","0.00","99.56","48.66"
2025,"20.52","18.91","0.00","96.67","47.25"
2026,"20.16","18.51","0.00","94.47","46.18"
2027,"19.90","18.19","0.00","92.79","45.36"
2028,"19.69","17.91","0.00","91.51","44.73"
2029,"19.53","17.69","0.00","90.52","44.25"
2030,"19.41","17.50","0.00","89.75","43.87"
