"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
" Years","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1-SPR","0.78","0.65","0.74","0.62","0.76","0.82","0.82","0.77","0.44","0.60","0.29","0.38","NA"
"Exploitation_Rate","0.10","0.07","0.09","0.07","0.09","0.10","0.11","0.09","0.04","0.06","0.03","0.03","NA"
"Age 2+ Biomass (mt)","112","121","130","135","139","137","132","129","127","133","143","159","0"
"Spawning Biomass (mt)","62","67","73","79","84","86","85","82","79","83","84","90","101"
"95% Confidence Interval","4–119","4–129","6–140","7–151","9–160","8–164","6–164","3–160","1–157","5–160","7–162","12–169","19–183"
"Recruitment","123","130","124","93","114","129","111","146","230","166","160","162","165"
"95% Confidence Interval","34–438","38–448","37–412","27–319","33–399","36–465","30–407","38–568","54–985","41–683","40–631","41–634","42–644"
"Depletion (%)","30.3","32.5","35.7","38.5","41.3","41.9","41.4","39.9","38.8","40.3","41.1","44.2","49.2"
"95% Confidence Interval","1.3–59.3","1.3–63.8","2.2–69.2","2.6–74.4","3.7–78.8","3.7–80.1","2.9–79.9","1.7–78.0","1.2–76.3","3.2–77.4","4.4–77.7","7.5–80.9","11.0–87.4"
