time,cruise,ship,ship_code,order_occupied,tow_type,tow_number,end_time,latitude,longitude,line,station,standard_haul_factor,volume_sampled,proportion_sorted,mesh_size,year,month,season,line.station,larvae_100m3
1981-01-18T11:17:00Z,198101,DAVID STARR JORDAN,JD,52,MT,1,1981-01-18T11:32:09Z,31.846666,-119.57166,93.3,60,0.02,88.7,1,0.505,1981,1,winter,93.3 60,0
1981-01-18T14:26:00Z,198101,DAVID STARR JORDAN,JD,53,MT,1,1981-01-18T14:41:11Z,32.013332,-119.24,93.3,55,0.02,97.8,1,0.505,1981,1,winter,93.3 55,0
1981-01-18T17:18:00Z,198101,DAVID STARR JORDAN,JD,54,MT,1,1981-01-18T17:33:01Z,32.18,-118.89333,93.3,50,0.02,93.5,1,0.505,1981,1,winter,93.3 50,0
1981-01-18T20:22:00Z,198101,DAVID STARR JORDAN,JD,55,MT,1,1981-01-18T20:36:59Z,32.346664,-118.555,93.3,45,0.02,93.7,1,0.505,1981,1,winter,93.3 45,0
1981-01-18T23:25:00Z,198101,DAVID STARR JORDAN,JD,56,MT,1,1981-01-18T23:40:13Z,32.513332,-118.21333,93.3,40,0.02,79.7,1,0.505,1981,1,winter,93.3 40,0
1981-01-19T02:28:00Z,198101,DAVID STARR JORDAN,JD,57,MT,1,1981-01-19T02:43:13Z,32.678333,-117.871666,93.3,35,0.02,81.1,1,0.505,1981,1,winter,93.3 35,0
1981-01-19T05:22:00Z,198101,DAVID STARR JORDAN,JD,58,MT,1,1981-01-19T05:37:01Z,32.845,-117.53167,93.3,30,0.02,96,1,0.505,1981,1,winter,93.3 30,0
1981-01-19T07:12:00Z,198101,DAVID STARR JORDAN,JD,59,MT,1,1981-01-19T07:27:00Z,32.911667,-117.395,93.3,28,0.01,104,1,0.505,1981,1,winter,93.3 28,0
1981-01-19T08:29:00Z,198101,DAVID STARR JORDAN,JD,60,MT,1,1981-01-19T08:44:00Z,32.956665,-117.305,93.3,26.7,0.02,95.5,1,0.505,1981,1,winter,93.3 26.7,1.0471205
1981-01-19T13:23:00Z,198101,DAVID STARR JORDAN,JD,61,MT,1,1981-01-19T13:38:14Z,33.485,-117.76833,90,28,0.02,97.8,1,0.505,1981,1,winter,90 28,1.0224949
1981-01-19T15:48:00Z,198101,DAVID STARR JORDAN,JD,62,MT,1,1981-01-19T16:03:00Z,33.41833,-117.905,90,30,0.02,88.6,1,0.505,1981,1,winter,90 30,0
1981-01-19T19:51:00Z,198101,DAVID STARR JORDAN,JD,63,MT,1,1981-01-19T20:05:57Z,33.185,-118.385,90,37,0.02,84.1,1,0.505,1981,1,winter,90 37,0
1981-01-20T00:35:00Z,198101,DAVID STARR JORDAN,JD,64,MT,1,1981-01-20T00:50:16Z,32.91833,-118.935,90,45,0.02,78.1,1,0.505,1981,1,winter,90 45,0
1981-01-20T05:17:00Z,198101,DAVID STARR JORDAN,JD,65,MT,1,1981-01-20T05:32:00Z,32.651665,-119.48,90,53,0.02,89.2,1,0.505,1981,1,winter,90 53,0
1981-01-20T09:37:00Z,198101,DAVID STARR JORDAN,JD,66,MT,1,1981-01-20T09:52:08Z,32.41833,-119.96,90,60,0.03,57,1,0.505,1981,1,winter,90 60,0
1981-01-21T21:36:00Z,198101,DAVID STARR JORDAN,JD,73,MT,1,1981-01-21T21:51:00Z,32.99,-120.35,86.7,60,0.02,85.5,1,0.505,1981,1,winter,86.7 60,0
1981-01-22T00:20:00Z,198101,DAVID STARR JORDAN,JD,74,MT,1,1981-01-22T00:35:01Z,33.156666,-120.00667,86.7,55,0.02,76.6,1,0.505,1981,1,winter,86.7 55,0
